Index,Country code,Reference date (as of 1 July),0-14,15-64,65+
1650,398,2020,  5 472,  11 821,  1 484
1665,417,2020,  2 130,  4 086,   308
1680,762,2020,  3 555,  5 680,   303
1695,795,2020,  1 857,  3 887,   288
1710,860,2020,  9 639,  22 227,  1 603
1725,5501,2020,  532 822, 1 287 898,  119 650
1740,4,2020,  16 281,  21 616,  1 031
1755,50,2020,  44 062,  112 019,  8 608
1770,64,2020,   192,   532,   48
1785,356,2020,  361 018,  928 267,  90 720
1800,364,2020,  20 784,  57 696,  5 514
1815,462,2020,   106,   415,   19
1830,524,2020,  8 394,  19 044,  1 698
1845,586,2020,  76 914,  134 373,  9 606
1860,144,2020,  5 072,  13 936,  2 405
1875,1832,2020,  455 558, 1 619 538,  271 614
1890,906,2020,  287 312, 1 166 736,  224 042
1905,156,2020,  254 930, 1 012 131,  172 262
1920,344,2020,   950,  5 183,  1 364
1935,446,2020,   93,   478,   78
1950,158,2020,  3 029,  17 013,  3 775
1965,408,2020,  5 115,  18 253,  2 410
1980,392,2020,  15 744,  74 816,  35 916
1995,496,2020,  1 019,  2 118,   141
2010,410,2020,  6 431,  36 743,  8 096
2025,920,2020,  168 246,  452 802,  47 572
2040,96,2020,   98,   315,   24
2055,116,2020,  5 170,  10 737,   811
2070,360,2020,  70 941,  185 453,  17 129
2085,418,2020,  2 324,  4 641,   310
2100,458,2020,  7 589,  22 452,  2 325
2115,104,2020,  13 867,  37 150,  3 393
2130,608,2020,  32 921,  70 620,  6 040
2145,702,2020,   720,  4 350,   781
2160,764,2020,  11 554,  49 202,  9 044
2175,626,2020,   486,   776,   56
2190,704,2020,  22 577,  67 105,  7 657
2205,1830,2020,  156 252,  439 059,  58 651
2220,915,2020,  10 422,  28 484,  4 626
2235,28,2020,   21,   67,   9
2250,533,2020,   19,   73,   16
2265,44,2020,   85,   278,   30
2280,52,2020,   48,   191,   48
2295,192,2020,  1 803,  7 723,  1 800
2310,531,2020,   30,   105,   29
2325,214,2020,  2 977,  7 055,   817
2340,308,2020,   27,   75,   11
2355,312,2020,   74,   249,   77
2370,332,2020,  3 703,  7 110,   590
2385,388,2020,   692,  2 001,   269
2400,474,2020,   59,   235,   81
2415,630,2020,   451,  1 814,   596
2430,662,2020,   33,   132,   19
2445,670,2020,   24,   76,   11
2460,780,2020,   281,   958,   161
2475,850,2020,   20,   63,   21
2490,916,2020,  48 313,  118 292,  13 066
2505,84,2020,   116,   262,   20
2520,188,2020,  1 061,  3 511,   522
2535,222,2020,  1 725,  4 200,   561
2550,320,2020,  5 973,  11 039,   903
2565,340,2020,  3 030,  6 382,   493
2580,484,2020,  33 310,  85 800,  9 822
2595,558,2020,  1 954,  4 294,   376
2610,591,2020,  1 143,  2 803,   368
2625,931,2020,  97 518,  292 283,  40 959
2640,32,2020,  11 044,  29 015,  5 137
2655,68,2020,  3 526,  7 273,   874
2670,76,2020,  44 019,  148 151,  20 389
2685,152,2020,  3 678,  13 098,  2 340
2700,170,2020,  11 288,  34 985,  4 610
2715,218,2020,  4 833,  11 471,  1 339
2730,254,2020,   95,   187,   17
2745,328,2020,   218,   513,   55
2760,600,2020,  2 061,  4 586,   486
2775,604,2020,  8 141,  21 954,  2 877
2790,740,2020,   156,   388,   42
2805,858,2020,   706,  2 243,   524
2820,862,2020,  7 752,  18 416,  2 267
2835,927,2020,  5 857,  19 542,  4 924
2850,36,2020,  4 920,  16 446,  4 134
2865,554,2020,   937,  3 096,   789
2880,1835,2020,  4 221,  7 610,   524
2895,928,2020,  3 861,  6 827,   436
2910,242,2020,   260,   584,   52
2925,540,2020,   63,   195,   28
2940,598,2020,  3 145,  5 483,   320
2955,90,2020,   275,   387,   25
2970,548,2020,   118,   178,   11
2985,954,2020,   161,   350,   38
3000,316,2020,   40,   111,   18
3015,296,2020,   43,   72,   5
3030,583,2020,   36,   74,   5
3045,957,2020,   200,   434,   50
3060,258,2020,   62,   193,   25
3075,882,2020,   74,   115,   10
3090,776,2020,   37,   63,   6
3105,1829,2020,  186 856,  724 842,  204 808
3120,917,2020,  120 070,  484 660,  142 906
3135,923,2020,  49 754,  193 938,  49 322
3150,112,2020,  1 629,  6 348,  1 472
3165,100,2020,  1 020,  4 437,  1 492
3180,203,2020,  1 687,  6 865,  2 157
3195,348,2020,  1 392,  6 321,  1 948
3210,616,2020,  5 759,  24 995,  7 092
3225,498,2020,   641,  2 889,   504
3240,642,2020,  2 986,  12 552,  3 700
3255,643,2020,  26 797,  96 505,  22 633
3270,703,2020,   849,  3 699,   912
3285,804,2020,  6 993,  29 328,  7 412
3300,924,2020,  18 631,  67 493,  20 137
3315,830,2020,   26,   117,   31
3330,208,2020,   943,  3 681,  1 168
3345,233,2020,   219,   837,   270
3360,246,2020,   879,  3 412,  1 250
3375,352,2020,   66,   222,   53
3390,372,2020,  1 029,  3 189,   720
3405,428,2020,   310,  1 186,   390
3420,440,2020,   421,  1 740,   561
3435,578,2020,   936,  3 536,   950
3450,752,2020,  1 780,  6 266,  2 053
3465,826,2020,  12 000,  43 223,  12 663
3480,925,2020,  21 104,  98 537,  32 575
3495,8,2020,   496,  1 959,   423
3510,70,2020,   476,  2 217,   588
3525,191,2020,   597,  2 636,   872
3540,300,2020,  1 423,  6 677,  2 323
3555,380,2020,  7 852,  38 521,  14 089
3570,470,2020,   63,   284,   94
3585,499,2020,   113,   416,   99
3600,807,2020,   340,  1 442,   302
3615,620,2020,  1 331,  6 544,  2 322
3630,688,2020,  1 343,  5 729,  1 665
3645,705,2020,   315,  1 333,   431
3660,724,2020,  6 732,  30 682,  9 340
3675,926,2020,  30 582,  124 693,  40 872
3690,40,2020,  1 298,  5 979,  1 730
3705,56,2020,  1 974,  7 384,  2 231
3720,250,2020,  11 523,  40 204,  13 547
3735,276,2020,  11 693,  53 921,  18 171
3750,442,2020,   97,   439,   90
3765,528,2020,  2 690,  11 011,  3 433
3780,756,2020,  1 295,  5 707,  1 653
3795,918,2020,  66 786,  240 181,  61 903
3810,124,2020,  5 954,  24 955,  6 833
3825,840,2020,  60 811,  215 143,  55 049
